,Easting(m),Northing(m),Elevation(m)
0,429765.9531,3782318.8281,679.4375
1,429559.7187,3781680.25,534.1875
2,429398.0313,3781190.6563,590.0
3,429239.6406,3780811.5312,485.5625
4,429118.9609,3780319.8437,434.0625
5,429064.5313,3779817.2031,541.0
6,428953.6406,3779512.9687,447.625
7,428758.2422,3779077.4531,405.375
8,428549.9844,3778651.3906,390.75
9,428441.8828,3778238.7656,399.0
10,428213.8516,3777798.4687,345.625
11,427879.7891,3777512.75,388.0
12,427496.0,3777134.2656,374.9375
13,427203.4531,3776883.7969,368.0
14,426865.8594,3776693.875,350.8125
15,426562.1484,3776634.6563,359.5
16,426134.3359,3776476.4063,370.0
17,425750.0,3776470.375,347.6875
18,425214.4297,3776538.4375,347.4375
19,424781.2187,3776665.5938,331.5625
20,424370.5625,3776897.75,316.8125
21,423950.2109,3777077.9062,299.8125
22,423449.7891,3777258.0625,283.9375
