,Easting(m),Northing(m),Elevation(m)
0,304245.7812,3811427.9063,619.6208
1,303316.1563,3811338.5,644.9871
2,302386.5313,3811249.0937,616.1743
3,301456.8906,3811159.6875,601.3313
4,300527.25,3811070.2813,600.5175
5,299597.625,3810980.875,600.1385
6,298675.3594,3810885.7344,594.0179
7,297753.0781,3810790.5937,594.295
8,296830.8125,3810695.4688,580.0764
9,295908.5469,3810600.3437,583.5228
10,294986.2656,3810505.2031,589.4841
11,294019.8281,3810444.4375,630.7512
12,293054.6563,3810199.7656,606.3074
13,292089.5,3809955.0938,611.7704
14,291124.3281,3809710.4375,603.8497
15,290159.1562,3809465.7656,597.054
16,289193.9844,3809221.0937,615.1318
