,Easting(m),Northing(m),Elevation(m)
0,244890.4375,3807542.9219,-1198.5282
1,245867.5938,3807437.8438,-696.9542
2,246844.7188,3807332.75,-728.3836
3,247821.875,3807227.6719,-658.4768
4,248799.0313,3807122.5938,-487.4777
5,249776.1719,3807017.5,-218.5021
6,250670.9219,3806921.2813,-55.0334
7,250728.9063,3806893.8906,-55.4433
8,250918.2344,3806816.3438,-56.635
9,251502.0625,3806576.625,-59.773
10,251701.2344,3806530.0156,-58.9232
11,252089.8594,3806363.3281,-57.1794
12,252739.4375,3806013.9063,-58.0738
13,253052.5625,3805868.625,-58.3763
14,253672.125,3805568.2813,-58.9582
15,253999.4844,3805411.4844,-57.9644
16,254115.6719,3805363.0938,-57.6072
17,254200.5625,3805335.75,-57.3414
18,254319.75,3805297.6875,-56.7229
19,254625.9688,3805170.1094,-55.152
20,254948.6719,3805035.5156,-53.5906
21,255593.4375,3805131.2188,-50.335
22,255673.9375,3805143.0,-50.0416
23,255814.7969,3805156.4688,-49.5163
24,255908.6094,3805189.9219,-49.2074
25,255965.7969,3805210.2969,-49.0191
26,256212.4844,3805298.5313,-47.9694
27,256725.4063,3805474.0625,-51.1926
28,257144.8438,3805671.8438,-53.2562
29,257543.2031,3805838.9063,-52.2812
30,257734.8594,3805909.8906,-51.8406
31,258074.9844,3805906.5625,-51.4489
32,258493.2813,3805903.3281,-50.3486
33,258634.625,3805889.75,-49.9453
34,259372.9688,3805580.375,-48.2374
35,259750.7656,3805444.9063,-47.3253
36,259946.125,3805396.4531,-46.8175
37,260179.0781,3805338.8125,-46.0905
38,260627.4219,3805402.1719,-45.9342
39,261255.5625,3805359.1719,-46.0425
40,261606.4844,3805308.3594,-45.4295
41,262107.4844,3805207.2813,-44.3994
42,262248.2188,3805157.5781,-44.1397
43,262454.3906,3805084.6875,-43.7976
44,262944.7813,3804915.7813,-42.9778
45,263199.4375,3804840.6719,-42.1442
46,263821.2813,3804775.9375,-39.7284
47,264182.9063,3804784.3594,-38.7424
48,264374.2344,3804830.7813,-38.1627
49,264756.8281,3804922.5156,-38.0591
50,265200.4844,3805030.8438,-38.5502
51,265560.2969,3805129.1406,-38.9373
52,266102.4844,3805261.75,-37.3837
53,266387.6719,3805231.0781,-136.4574
54,267364.8125,3805125.9844,-326.1513
55,268341.9688,3805020.9063,-344.8163
56,269319.1094,3804915.8281,-171.2469
57,270296.2656,3804810.7344,-311.9491
58,271273.4063,3804705.6563,-654.1041
59,271689.2969,3804226.4531,-1576.8136
60,272105.1719,3803747.2344,-2297.9558
61,272521.0625,3803268.0313,-2615.322
62,273366.5,3803146.6094,-2595.8657
63,274211.9375,3803025.1875,-2576.4097
64,275057.375,3802903.7813,-2556.9536
65,275902.8125,3802782.3594,-2537.4973
66,276585.7813,3802727.1406,-2499.0044
67,277282.0156,3802623.7344,-2451.9495
68,277884.0156,3802571.625,-2420.2026
69,278571.4531,3802490.0469,-2416.1816
70,279225.1094,3802396.4531,-2424.7654
71,279967.5938,3802301.7813,-2400.1917
72,280638.0938,3802179.875,-2398.4063
73,281498.8125,3802028.1719,-2401.8059
74,282251.9688,3801944.4844,-2402.3413
75,282933.7188,3801848.8125,-2387.9714
76,283593.2969,3801755.7969,-2403.8887
77,284244.4219,3801645.875,-2430.9312
78,284717.9688,3801561.3125,-2446.3423
79,285160.9531,3801478.875,-2481.3428
