,Easting(m),Northing(m),Elevation(m)
0,285151.8125,3799856.1719,-2445.0854
1,285063.5,3800024.1719,-2377.4573
2,284883.5938,3800194.9375,-2373.5701
3,284792.8125,3800252.9375,-2388.946
4,284702.125,3800310.1875,-2385.7722
5,284428.125,3800427.6875,-2411.5549
6,284245.4531,3800487.4375,-2425.8591
7,283974.5781,3800715.4375,-2181.8359
8,283975.7969,3800770.7031,-2123.0474
9,283887.7031,3800939.2031,-1994.5673
10,283707.7188,3801110.2031,-1861.0109
11,283438.25,3801393.4531,-1651.1779
12,283256.125,3801508.7031,-1479.547
13,283073.5,3801568.7188,-1337.7789
14,282800.125,3801685.7188,-1044.3337
15,282617.5156,3801745.4688,-839.054
16,282434.9219,3801805.2188,-678.4838
17,282252.1719,3801865.2188,-510.0375
18,282065.1094,3801758.4688,-458.2992
19,281697.25,3801767.2188,-226.7676
20,281610.3438,3801990.9844,71.2626
21,281518.4688,3801993.2344,130.2092
22,281425.2813,3801940.2344,164.3574
23,281237.4375,3801777.9844,127.5601
24,280960.0469,3801728.7344,191.5786
25,280775.6406,3801733.2344,240.4244
26,280409.0469,3801797.2344,316.2809
27,280134.3438,3801859.2344,359.6074
28,280042.4063,3801860.9844,331.4145
29,279950.5625,3801863.4844,313.4759
30,279858.5625,3801865.7344,289.2415
31,279766.625,3801867.7344,255.9923
32,279399.3594,3801932.5,243.5624
33,279216.6875,3801992.25,269.3635
34,279124.7031,3801994.5,238.168
35,279032.8906,3801996.5,194.3079
36,278666.3281,3802060.75,84.5775
37,278300.3438,3802180.0,87.6254
38,278117.75,3802240.0,76.1005
39,277844.4375,3802357.25,73.2192
40,277752.5313,3802359.5,51.2018
41,277660.4063,3802361.5,39.5502
