,Easting(m),Northing(m),Elevation(m)
0,376109.0,3797616.0,401.0
1,375880.0,3797304.0,392.0
2,375599.0,3797348.0,392.0
3,375318.0,3797392.0,392.0
4,375007.5,3797523.0,396.5
5,374697.0,3797654.0,401.0
6,374377.5,3797796.0,405.0
7,374058.0,3797938.0,409.0
8,373813.5,3798108.5,413.0
9,373569.0,3798279.0,417.0
10,373318.0,3798276.5,417.0
11,373067.0,3798274.0,417.0
12,372666.0,3798426.0,417.0
13,372342.5,3798667.5,432.5
14,372019.0,3798909.0,448.0
15,371747.5,3798945.5,448.0
16,371476.0,3798982.0,448.0
17,371218.5,3799194.5,498.0
18,370961.0,3799407.0,548.0
19,370629.0,3799235.0,487.0
20,370214.1875,3799279.0,499.2
21,369799.4063,3799323.0,511.4
22,369384.5938,3799367.0,523.6
23,368969.8125,3799411.0,535.8
24,368555.0,3799455.0,548.0
25,368244.0,3799298.0,487.0
26,367803.0,3799213.5,487.0
27,367362.0,3799129.0,487.0
28,366915.3438,3799180.25,487.0
29,366468.6563,3799231.75,487.0
30,366022.0,3799283.0,487.0
31,365657.0,3799196.0,487.0
32,365383.0,3799345.5,485.0
33,365109.0,3799495.0,483.0
34,364688.8125,3799472.5,474.4
35,364268.5938,3799450.25,465.8
36,363848.4063,3799427.75,457.2
37,363428.1875,3799405.5,448.6
38,363008.0,3799383.0,440.0
39,362771.4688,3799188.5,433.0
40,362534.9375,3798994.0,426.0
41,362254.1875,3798815.75,428.0
42,362136.0156,3798763.2813,428.84
43,362017.8438,3798710.7969,429.67
44,361899.6719,3798658.3281,430.51
45,361852.625,3798533.0938,473.59
46,361810.7813,3798483.6563,481.61
47,361733.7656,3798387.3594,511.41
48,361640.4844,3798321.7813,507.91
49,361550.6875,3798258.9531,516.37
50,361462.7656,3798212.6875,479.89
51,361395.2656,3798187.7344,457.45
52,361351.375,3798136.5156,445.99
53,361291.0781,3798088.375,447.93
54,361245.1406,3798049.7656,450.24
55,361184.1875,3798026.4531,447.52
56,361138.3125,3798007.2344,450.04
57,361115.0938,3797944.0625,453.97
58,361075.5156,3797876.1094,460.16
59,361093.9219,3797842.0156,460.9
60,361102.9531,3797804.1563,449.37
61,361080.4844,3797756.5313,440.67
62,361091.9063,3797711.7813,455.87
63,361067.9688,3797663.6719,454.97
64,360958.2969,3797621.0156,458.46
65,360887.9844,3797583.875,436.42
66,360869.7031,3797530.8906,428.0
67,360855.4531,3797448.4844,420.17
68,360845.0156,3797336.5625,419.68
69,360830.125,3797263.6406,419.12
70,360770.5156,3797172.2969,438.73
71,360728.7031,3797095.1875,441.7
72,360714.4375,3796916.5938,451.92
73,360673.7031,3796834.1875,446.98
74,360183.3594,3796812.7969,532.25
75,360115.6719,3796818.2656,550.97
76,360039.6563,3796825.4531,549.56
77,359928.9063,3796812.0156,554.39
78,359823.4375,3796821.1875,539.86
79,359751.4844,3796809.75,557.5
80,359674.2344,3796804.125,555.82
81,359567.1563,3796834.2031,549.95
82,359505.7344,3796821.6563,578.38
83,359427.4063,3796806.5156,593.16
84,359365.8281,3796810.2344,570.19
85,359318.9219,3796817.2031,555.45
86,359270.25,3796814.4063,559.95
87,359202.5625,3796820.2031,575.14
88,359093.125,3796824.6875,568.02
89,358990.9375,3796817.6094,603.76
90,358911.5313,3796818.1875,573.0
91,358837.8438,3796799.6875,570.58
92,358776.1719,3796797.125,579.96
93,358709.7656,3796812.7969,572.76
94,358649.9375,3796819.1875,574.11
95,358576.5156,3796772.2656,625.91
96,358481.5469,3796725.5469,617.96
97,358388.8594,3796704.375,598.66
98,358322.9375,3796720.1563,580.54
99,358226.0,3796707.9531,545.94
100,358077.9063,3796736.5938,497.34
101,357988.6563,3796784.1094,475.41
102,357952.0938,3796740.6563,511.09
103,357897.5625,3796655.7656,558.05
104,357828.7031,3796611.0469,605.98
105,357769.1875,3796609.0781,601.71
106,357715.7656,3796631.625,623.3
107,357625.8906,3796656.3594,595.47
108,357537.1094,3796672.1875,597.18
109,357447.6406,3796699.7188,632.18
110,357370.6563,3796710.0938,659.15
111,357268.5625,3796748.7969,616.23
112,357203.9531,3796760.9375,580.92
113,357133.2031,3796803.8125,537.64
114,357094.1094,3796788.0625,537.48
115,357020.0938,3796771.8438,582.09
116,356955.0938,3796773.5156,599.82
117,356871.1875,3796818.6875,606.4
118,356798.625,3796838.3125,606.62
119,356723.4531,3796836.4531,613.79
120,356634.4531,3796843.8281,616.33
121,356568.1406,3796859.4063,608.47
122,356521.5156,3796851.7656,624.63
123,356473.9688,3796831.1094,650.33
124,356398.7031,3796840.7656,681.06
125,356307.3438,3796843.2656,697.86
