,Easting(m),Northing(m),Elevation(m)
0,343888.0,3797145.0,426.0
1,343064.0,3796908.0,400.0
2,342677.0,3796806.0,395.0
3,342287.0,3796605.0,363.0
4,341836.0,3796478.0,358.0
5,341235.0,3796206.0,356.0
6,340897.0,3796075.0,350.0
7,340256.0,3795895.0,341.0
8,339942.0,3795761.0,343.0
9,339229.0,3795392.0,343.0
10,338926.0,3795269.0,311.0
11,338222.0,3794986.0,303.0
12,337721.0,3794853.0,300.0
13,337070.0,3794732.0,288.0
14,335175.0,3794494.0,243.0
15,334666.0,3794409.0,243.0
16,334020.0,3794297.0,243.0
17,333230.0,3794035.0,243.0
18,332712.0,3793940.0,289.0
19,332020.0,3793854.0,249.0
20,331440.0,3793810.0,244.0
21,330981.0,3793705.0,269.0
22,330265.0,3793463.0,241.0
23,329864.0,3793347.0,240.0
24,328971.0,3792963.0,218.0
25,328509.0,3792870.0,211.0
26,327984.0,3792640.0,203.0
27,327460.0,3792292.0,242.0
28,327039.0,3792025.0,243.0
29,326424.0,3791735.0,243.0
30,325825.0,3791623.0,198.0
31,325419.0,3791608.0,182.0
32,325035.0,3791475.0,206.0
33,324270.0,3791328.0,202.0
34,323870.0,3791245.0,176.0
35,323383.0,3791149.0,160.0
36,323003.0,3791092.0,175.0
37,322513.0,3791064.0,184.0
38,322178.0,3791088.0,182.0
39,321521.0,3791122.0,121.0
40,321071.0,3791207.0,135.0
41,320348.0,3791240.0,121.0
42,319920.0,3791168.0,121.0
43,319366.0,3790929.0,106.0
44,318894.0,3790733.0,84.0
45,318422.0,3790575.0,109.0
46,317784.0,3790447.0,87.0
47,317177.0,3790284.0,103.0
48,316747.0,3790154.0,96.0
49,315799.0,3789975.0,108.0
50,314905.625,3791343.5,98.0
51,313248.5313,3791150.25,108.0
52,311895.25,3790901.5,99.0
53,311094.3125,3790653.0,81.0
54,310210.5625,3790100.75,71.0
55,309492.4687,3789410.25,51.0
56,308636.3125,3788885.5,48.0
57,307365.875,3788443.5,29.0
58,306509.7187,3788195.0,26.0
