,Easting(m),Northing(m),Elevation(m)
0,327767.7656,3827210.0312,914.0
1,325207.6094,3827120.7344,1218.0
2,323094.0,3827626.8125,877.0
3,320783.1563,3827059.5,733.0
4,317199.6875,3826406.2812,1065.0
5,313151.0625,3824977.3437,1222.0
6,309727.6094,3823875.875,1178.0
7,304369.1406,3823161.4219,1364.0
8,301541.0625,3822982.8125,1147.0
9,298424.4062,3822965.0,1219.0
10,295298.6406,3822488.6875,1098.0
11,291637.0313,3821089.5313,609.0
12,287201.4063,3820256.0,751.0
13,283510.0156,3820285.7656,426.0
14,279937.7187,3819749.9219,609.0
15,277228.7031,3818767.5313,930.0
16,274013.625,3818856.8437,853.0
17,270352.0156,3818588.9219,677.0
18,265599.75,3818878.625,587.0
19,261819.0625,3819652.6406,548.0
20,257949.0625,3820277.7813,731.0
21,253513.4375,3821409.0313,682.0
22,248333.5937,3823314.25,530.0
23,245445.9688,3824683.6406,406.0
24,242469.0625,3825755.3437,304.0
25,239742.5625,3826361.0781,299.0
26,237241.9688,3826509.9375,243.0
27,234056.6562,3826003.8438,299.0
28,230424.8125,3826152.6875,439.0
29,226554.8125,3827551.8438,540.0
30,221910.7813,3828057.9375,424.0
31,218695.7188,3827909.0938,304.0
32,216254.6562,3827373.2344,304.0
33,213724.25,3826480.1563,233.0
34,209705.4062,3825735.9375,278.0
35,205545.8125,3824924.5,217.0
36,203156.1875,3824247.4687,125.0
37,200500.2813,3823901.9688,304.0
38,196339.0,3823592.5313,304.0
39,192287.625,3823304.6875,316.0
40,188252.9688,3823606.0,243.0
41,184224.2813,3823901.9688,131.0
42,180117.9688,3824051.2813,60.0
