,Easting(m),Northing(m),Elevation(m)
0,235727.75,3826269.3438,264.0
1,234207.625,3826861.2813,243.0
2,232916.7813,3827531.7188,243.0
3,230592.9062,3827884.7188,309.0
4,227621.4062,3828651.3125,305.125
5,223965.4687,3829984.2031,321.0
6,222788.625,3830412.625,342.375
7,221440.0625,3830582.7812,284.0
8,219368.0937,3830456.2812,200.5
9,217676.0,3830769.3437,182.0
10,215884.0,3831075.0,181.0
11,214905.6875,3830867.7812,181.0
12,212523.8125,3831178.8125,121.0
13,210450.5313,3831972.9062,121.0
14,208073.8125,3833110.7813,121.0
15,205974.375,3834341.4375,121.0
16,204627.0312,3834935.2813,121.0
17,203023.0,3835166.1406,121.0
18,201822.9688,3834946.3125,121.0
19,200381.6562,3835324.8281,121.0
20,199296.375,3835734.0,121.0
21,198062.625,3836519.625,157.0
22,196417.0937,3838074.9531,236.0
23,195567.7187,3838863.8594,204.0
24,194833.0625,3838997.7813,182.0
25,193540.1875,3838778.5156,221.75
26,192132.7812,3838433.3125,304.0
27,190036.625,3838348.5156,183.0
28,187325.25,3838735.25,121.0
29,186172.1562,3838475.875,60.0
30,184625.0937,3837761.875,59.0
31,182115.5,3837657.4219,59.0
32,177753.875,3837456.9063,204.0
33,175085.0313,3838078.5313,147.0
34,171879.5625,3837934.125,169.0
35,171104.9062,3838183.5625,138.0
36,169773.75,3838607.25,128.0
37,167841.8125,3838879.375,53.0
38,166080.2812,3839571.4063,60.0
39,164745.5313,3840492.7656,28.0
40,163748.7188,3840918.2813,28.0
