,Easting(m),Northing(m),Elevation(m)
0,433710.9922,3774426.875,393.5
1,432544.0859,3774507.8594,381.0625
2,431253.2969,3774597.4375,367.375
3,430205.2109,3774604.8594,357.0
4,428798.9844,3774591.2187,343.5
5,427375.7422,3774548.7188,327.4375
6,426208.9375,3774396.3438,305.1875
7,425273.1719,3774274.1406,287.3125
8,424141.9453,3774078.9687,270.0
9,423105.4766,3773892.3437,254.875
10,422300.7344,3773694.9844,241.3125
11,421280.1563,3773351.2187,220.9375
12,420365.5312,3773061.5937,207.5625
13,419496.8281,3772788.0625,194.9375
14,418769.2266,3772480.5,178.3125
15,417874.4766,3772050.3281,166.8125
16,416979.7266,3771620.1562,-44.6875
17,416084.9766,3771189.9844,-56.1875
18,415190.2266,3770759.8125,-67.6875
19,414295.4766,3770329.6406,-79.1875
20,413400.7266,3769899.4687,-90.6875
21,412505.9766,3769469.2969,-102.1875
22,411611.2266,3769039.125,-113.6875
