,Easting(m),Northing(m),Elevation(m)
0,437713.5234,3777317.0781,426.75
1,437357.7344,3776876.5781,419.6875
2,437069.7187,3776503.8594,412.125
3,436713.9375,3776097.25,405.5625
4,436324.2734,3775605.9219,398.5
5,435917.6641,3775080.7188,392.3125
6,435544.9375,3774792.7031,384.375
7,435155.2656,3774453.8594,378.0
8,434765.6016,3774115.0156,370.25
9,434392.875,3773725.3594,363.1875
10,434003.2031,3773234.0313,356.125
11,433649.1953,3772878.9687,349.0625
12,433260.5,3772443.4375,342.0
13,432843.2187,3772109.1406,334.9375
14,432434.6719,3771789.7344,327.8125
15,432002.6406,3771444.9375,316.1875
16,431579.7578,3771121.7656,302.625
17,431124.9297,3770808.5313,294.25
18,430838.0703,3770653.9063,286.1875
19,430662.2891,3770492.9219,287.0
20,430311.0078,3770264.6563,276.5
21,429878.7031,3770055.5312,268.5
22,429340.9766,3769992.8594,264.4375
23,428886.0781,3769925.125,260.75
24,428333.1016,3769803.5938,249.5625
25,428041.5313,3769780.4687,246.0
26,427625.8984,3769668.4375,241.4375
27,427118.1484,3769547.6875,246.25
28,426580.0156,3769395.3594,241.1875
29,426005.6406,3769253.1094,246.8125
30,425512.4844,3769125.0938,243.25
31,424988.3906,3768983.2187,223.6875
32,424519.2578,3768878.7031,230.125
33,423927.7812,3768734.3594,244.0
34,423489.8516,3768564.2656,266.9375
35,423074.3906,3768410.5156,292.9375
36,422708.9375,3768260.5937,292.6875
37,422213.9453,3768013.7344,274.0
38,421758.8516,3767806.5156,250.9375
39,421355.7891,3767585.1719,228.0
40,421114.9922,3767376.5469,242.5
41,420823.3047,3767158.8906,272.0
42,420499.4375,3766870.2344,251.75
43,420271.625,3766726.9531,257.0625
44,419953.8047,3766537.7187,236.0
45,419513.2812,3766401.1719,295.0
46,419231.7656,3766219.8125,238.0
47,418889.2266,3766120.8438,251.125
48,418545.9688,3766084.4375,298.0
49,418288.1016,3765973.5312,233.875
