,Easting(m),Northing(m),Elevation(m)
0,424140.1406,3772499.2813,217.6875
1,423328.6016,3772405.9219,207.875
2,422994.0859,3772212.0156,187.4375
3,422563.0937,3772120.2188,218.0
4,422003.8437,3771923.75,178.625
5,421620.1719,3771623.9375,163.5625
6,421293.2969,3771464.6563,162.75
7,420847.25,3771237.9531,187.0
8,420488.1953,3771010.1562,166.875
9,419880.6172,3770676.4219,160.0
10,419260.1562,3770205.1406,143.0
11,418689.875,3769845.8906,138.9375
12,417986.2969,3769402.6719,133.9375
13,417298.0,3768969.0781,128.9375
14,416641.6016,3768555.5781,124.25
15,415746.625,3767991.7969,117.875
16,414764.9375,3767373.3906,110.8125
17,414096.4063,3766952.25,106.0
18,413427.8828,3766531.1094,101.1875
19,412593.5547,3766005.5313,95.1875
20,411893.125,3765564.2969,90.1875
21,411443.3984,3765280.9844,86.9375
22,411093.8516,3765060.7813,84.5
