,Easting(m),Northing(m),Elevation(m)
0,509297.0625,3940591.75,1277.0
1,505751.6562,3944139.0,1194.0
2,496255.4375,3948475.5,1111.0
3,495656.4062,3948903.5,1127.0
4,493336.0937,3951212.25,734.0
5,492565.9375,3952132.5,600.0
6,491463.4062,3953342.5,526.0
7,489709.6875,3955752.0,504.0
8,489409.8437,3956589.75,501.0
9,489177.5625,3957231.5,536.0
10,488528.8438,3958544.0,571.0
11,487566.25,3960993.0,487.0
12,486264.1563,3965990.0,435.0
13,484819.5,3969635.25,423.0
14,483344.2813,3972003.75,390.0
15,483134.2812,3973218.5,449.0
16,482618.5,3975325.25,346.0
17,482254.875,3976277.75,350.0
18,481702.375,3978060.75,326.0
19,481295.75,3979752.0,312.0
20,480801.6875,3981504.5,307.0
21,480192.5937,3983406.25,317.0
22,481118.7187,3986317.25,473.0
23,481040.375,3987900.25,539.0
24,481946.0625,3989469.5,480.0
25,482282.4688,3990470.75,476.0
26,482665.5937,3992495.5,726.0
27,482577.375,3993626.75,835.0
28,481494.0938,3995739.75,527.0
29,481180.0938,3996876.25,489.0
30,481085.7187,3997725.5,491.0
31,481228.25,3999078.0,417.0
32,481473.7812,3999976.25,435.0
33,481761.6563,4005391.75,1038.0
34,480944.5,4006765.25,1102.0
35,480392.3125,4007342.0,936.0
36,479491.8125,4010072.75,1114.0
37,478610.75,4011108.75,926.0
38,477871.5,4011878.5,857.0
39,476632.625,4013637.25,1094.0
40,475286.2813,4014061.75,959.0
41,474170.7188,4014707.5,867.0
42,473616.0,4015171.5,788.0
43,472737.3125,4016320.5,765.0
44,471755.5625,4017923.25,757.0
45,470983.5937,4018787.25,722.0
46,470660.8438,4019528.75,746.0
47,470370.75,4020581.5,859.0
48,469572.25,4021416.25,778.0
49,467716.5625,4024394.0,603.0
50,467622.0938,4025243.75,614.0
51,466247.4375,4026968.25,514.0
52,463464.4063,4032161.25,547.0
