,Easting(m),Northing(m),Elevation(m)
0,510833.0625,4043051.0,-53.0
1,510133.0,4042049.5,-65.0
2,509825.7188,4040926.5,-64.0
3,510760.7188,4039776.0,-61.0
4,511028.0938,4039092.0,-58.0
5,511643.6875,4038449.75,-45.0
6,512705.6875,4037060.5,-3.0
7,513115.6875,4035789.0,21.0
8,513525.6562,4034517.5,45.0
9,514018.5312,4033293.0,41.0
10,514155.75,4032357.0,114.0
11,514295.1875,4030998.0,102.0
12,514989.2188,4029175.0,164.0
13,515284.8125,4028736.25,364.0
14,515526.375,4027920.25,191.0
15,516062.25,4026609.0,270.0
16,516771.25,4025463.5,175.0
17,517487.7187,4024656.75,198.0
18,518285.375,4023466.25,336.0
19,518853.5,4021572.25,323.0
20,519247.625,4021004.75,282.0
21,519530.0,4019981.75,276.0
22,520130.4063,4019006.5,367.0
23,520110.375,4018103.0,408.0
24,520598.4688,4017188.5,434.0
25,521010.0937,4015372.0,216.0
26,520980.0312,4014017.0,88.0
27,520617.5312,4012951.5,-1.0
28,520822.0625,4011987.0,260.0
29,521204.75,4011413.75,338.0
30,521567.375,4009937.25,218.0
31,521608.8125,4009258.5,171.0
32,521469.5938,4008075.25,582.0
33,521751.9063,4006798.25,508.5
34,522034.2188,4005521.25,435.0
35,522065.625,4004391.0,314.0
36,522148.4687,4003033.75,459.0
37,521954.0625,4001908.5,356.5
38,521759.6875,4000783.25,254.0
39,521965.4375,3999875.0,373.0
40,522285.375,3999265.0,293.0
41,522677.6563,3998434.5,136.0
42,523157.2187,3997589.5,90.0
43,523978.875,3996441.75,208.0
44,524800.5,3995294.0,326.0
45,525109.125,3993931.75,197.0
46,524740.25,3992403.75,68.0
47,524422.5,3991557.0,35.0
48,523457.1562,3990749.25,24.0
49,522664.4375,3990653.75,-44.0
50,522150.1563,3990383.0,-9.0
51,521914.375,3989936.5,48.0
52,521909.3438,3989710.75,70.0
53,522503.3125,3988483.25,296.5
54,523097.25,3987255.75,523.0
55,523832.75,3985930.5,579.0
56,524365.4375,3985048.25,485.5
57,524898.125,3984166.0,392.0
58,524982.375,3983135.0,210.5
59,525066.625,3982104.25,29.0
60,525564.3125,3981378.75,26.0
61,526044.8125,3980131.75,94.0
62,525916.875,3979457.0,19.0
63,526014.75,3978777.25,43.0
64,526561.5625,3977974.5,33.0
65,526426.0625,3976961.25,-30.0
66,526284.5,3975415.5,-61.0
