,Easting(m),Northing(m),Elevation(m)
0,457480.8437,4039082.75,1262.0
1,456979.4688,4039041.5,1283.0
2,456093.9375,4039507.0,1441.0
3,455496.375,4039888.25,1455.0
4,454966.1875,4040571.5,1550.0
5,453570.4063,4041336.0,1739.0
6,452514.6562,4042150.0,2016.0
7,450949.4375,4042918.5,1880.0
8,449609.25,4043825.5,1626.0
9,449162.375,4044061.0,1607.0
10,447508.625,4045961.0,1296.0
11,446948.8125,4046199.0,1258.0
12,445282.8125,4047535.0,1122.0
13,444460.1563,4048682.75,985.0
14,441145.0938,4052144.25,768.0
15,439739.875,4052987.25,837.0
16,437515.75,4054143.75,632.0
17,436874.5,4054518.25,647.0
18,435156.4375,4055099.25,629.0
19,433139.9375,4055594.25,561.0
20,430685.4375,4057059.5,437.0
21,429347.1562,4057576.0,468.0
22,428444.6563,4057955.5,389.0
23,426767.375,4058782.75,383.0
24,426245.1563,4060771.5,325.0
25,425352.4375,4061299.5,429.0
26,424590.9375,4062672.0,401.0
27,423350.8125,4064580.75,408.0
28,423138.9375,4066093.5,367.0
29,421538.2812,4067679.5,413.0
30,420873.875,4068315.75,494.0
31,420172.4375,4069856.25,419.0
32,419969.5937,4070934.5,476.0
33,419885.8125,4072292.5,460.0
34,419679.3125,4073201.25,512.0
35,418861.2187,4074575.0,552.0
36,418649.875,4075257.75,608.0
37,418102.0313,4076060.5,643.0
38,415239.375,4086741.25,1630.0
