,Easting(m),Northing(m),Elevation(m)
0,402188.75,4040125.25,1644.0
1,400733.6562,4040777.5,1797.0
2,399283.4063,4041656.25,2101.0
3,398843.6562,4042230.5,1998.0
4,398467.5937,4043142.75,1820.0
5,397084.5937,4044528.25,1820.0
6,396209.8438,4045902.75,1827.0
7,395432.4063,4046540.75,1871.0
8,395391.5625,4047276.25,1829.0
9,394730.6875,4048081.5,1835.0
10,394008.8125,4048861.75,1907.0
11,392178.7188,4050482.75,1983.0
12,391981.6563,4051843.25,1871.0
13,391711.2812,4052414.0,1859.0
14,390555.25,4053851.0,2004.0
15,390403.8437,4054702.0,1958.0
16,390322.875,4055261.25,1962.0
17,389692.1563,4058246.75,1840.0
18,389419.375,4058704.5,1869.0
19,388890.625,4060411.0,1821.0
20,383815.625,4070541.75,2095.0
21,382314.125,4076678.25,2188.0
22,383818.2188,4082378.5,2376.0
