,Easting(m),Northing(m),Elevation(m)
0,440519.0625,3939631.9375,682.4197
1,440500.9688,3939676.1875,681.3643
2,440498.5625,3939682.125,681.2079
3,440492.625,3939696.5625,680.968
4,440392.5625,3939940.0,676.9638
5,440345.8438,3940360.25,670.5311
6,440329.4063,3940507.0625,669.5196
7,440325.7188,3940539.8125,669.4684
8,440324.6875,3940545.9375,669.46
9,440325.5,3940546.375,664.5089
10,440322.7188,3940557.9375,669.4437
11,440320.9688,3940568.5,669.4293
12,440295.375,3940704.3125,669.2557
13,440200.6563,3941208.0625,666.5131
14,440176.5625,3941336.3125,665.815
15,440175.75,3941337.875,665.811
16,440143.625,3941400.875,666.0207
17,440104.6875,3941477.25,666.2746
18,440090.7188,3941537.875,666.3257
19,440076.4688,3941599.5625,666.3779
20,439960.2188,3941710.0,667.2783
21,439892.3438,3941774.5,667.8041
22,439800.2813,3941945.3125,668.4166
23,439661.8125,3942128.625,669.4265
24,439631.5625,3942168.6875,669.5696
25,439538.0,3942292.5,669.6279
26,439465.6563,3942388.25,669.7676
27,439454.75,3942403.625,669.7885
28,439401.625,3942478.5,669.8898
29,439312.9063,3942635.375,670.0505
30,439111.1875,3942999.5,670.4139
31,439011.3125,3943179.8125,671.1622
32,438983.375,3943230.3125,671.2706
33,438903.125,3943448.0,671.6981
34,438846.7813,3943600.8125,671.9981
35,438831.0,3943650.375,672.093
36,438787.5313,3943786.875,672.5682
37,438773.6875,3943830.375,672.6097
38,438760.375,3943872.0625,672.4279
39,438734.1875,3943927.1875,672.222
40,438441.0625,3944543.75,669.7186
41,438365.875,3944661.125,669.3318
42,438359.6563,3944670.8125,669.3188
43,438372.2188,3944699.5,669.1374
44,438095.0938,3945360.0,667.577
45,438062.4688,3945429.625,667.4281
46,438033.3125,3945491.9375,667.1862
47,438000.1875,3945562.6875,667.1019
48,438000.1875,3945567.875,667.0767
49,437828.0313,3946050.375,665.5372
50,437648.3125,3946322.8125,665.0609
51,437616.25,3946371.4375,664.8513
52,437428.1875,3946894.75,661.8472
53,437335.125,3947153.625,660.7771
54,437295.1563,3947264.625,660.9171
55,437258.5,3947351.875,661.0389
56,437204.2813,3947481.0,661.2192
57,437169.3125,3947558.6875,661.333
58,437094.0625,3947725.9375,661.6437
59,437064.3438,3947780.6875,661.7612
60,436996.125,3947906.4375,662.0314
61,436931.8438,3947984.4375,662.2677
