,Easting(m),Northing(m),Elevation(m)
0,408692.6562,4040416.25,1092.0
1,408073.8125,4042478.5,1097.0
2,407321.625,4043941.0,1116.0
3,406696.3438,4045702.25,1131.0
4,405525.2813,4050126.75,1132.0
5,405307.5,4051216.25,1135.0
6,405278.1875,4052663.5,1140.0
7,404887.375,4054118.25,1149.0
8,404303.0,4054974.5,1158.0
9,403337.0937,4060540.25,1158.0
10,403237.2188,4061506.75,1158.0
11,402731.0937,4063205.25,1158.0
12,402101.875,4064786.0,1158.0
13,401761.0,4065757.75,1158.0
14,401375.3437,4067453.75,1157.0
15,400913.9687,4068428.0,1157.0
16,400444.8438,4069040.75,1158.0
17,400171.9688,4070372.75,1158.0
18,399590.0625,4071349.5,1158.0
19,399250.1562,4072383.25,1158.0
20,398959.5312,4072870.0,1158.0
21,397361.375,4077063.5,1158.0
22,396960.2188,4078036.75,1158.0
23,396587.625,4078931.75,1158.0
24,396278.4063,4079980.25,1158.0
25,395987.4688,4080468.75,1158.0
26,395649.125,4081561.0,1158.0
27,395604.3438,4082285.5,1158.0
28,395158.375,4083983.0,1158.0
29,393374.2188,4087939.5,1158.0
30,393123.2188,4090296.0,1193.0
31,382149.4375,4121659.5,1775.0
