,Easting(m),Northing(m),Elevation(m)
0,474699.75,3987724.0,387.0
1,472969.75,3990647.5,423.0
2,471819.9063,3992137.25,436.0
3,471073.2813,3993902.0,443.0
4,470507.9062,3995947.5,419.0
5,469840.0625,3997406.25,432.0
6,468576.125,3999015.0,480.0
7,466459.2812,4002957.75,615.0
8,466069.0625,4005180.25,646.0
9,466210.1875,4007086.5,602.0
10,465721.75,4008000.75,616.0
11,465040.7187,4008961.5,674.0
12,464221.5312,4009849.75,710.0
13,463535.9688,4011380.5,743.0
14,463016.8125,4013482.0,704.0
15,462619.1563,4015975.75,730.0
16,462199.375,4017453.5,605.0
