,Easting(m),Northing(m),Elevation(m)
0,554435.75,3939920.5,359.0
1,553472.625,3940321.0,306.0
2,552567.8125,3940747.75,322.0
3,551938.25,3940990.75,376.0
4,551625.25,3941457.0,309.0
5,549871.875,3942563.25,294.0
6,549725.25,3942820.5,266.0
7,549830.25,3942970.5,266.0
8,549585.4375,3943382.5,253.0
9,549446.8125,3943995.25,310.0
10,548958.375,3944870.0,296.0
11,546687.375,3947817.25,114.0
12,544575.375,3950101.75,111.0
13,543804.4375,3950966.0,88.0
14,540264.4375,3953168.5,137.0
15,540138.0625,3953691.75,123.0
16,539859.6875,3954241.5,144.0
17,539661.6875,3954864.25,147.0
18,539351.0,3955530.5,155.0
19,539029.0625,3956350.75,141.0
20,538052.5625,3957606.25,170.0
21,537360.6875,3958568.0,185.0
22,536095.1875,3960626.5,253.0
23,535808.0625,3961984.75,141.0
24,534872.875,3965619.25,100.0
25,534667.8125,3966727.0,95.0
26,532504.625,3968469.0,31.0
27,531018.625,3970196.0,5.0
28,530308.6875,3970116.5,31.0
29,529676.6875,3970790.5,13.0
30,529296.75,3971476.75,-9.0
31,528691.0,3972167.75,-2.0
32,528426.4375,3972964.0,-27.0
33,528042.625,3973480.5,-10.0
34,526300.0625,3975585.25,-57.5938
